id,type,url,payload,user_id,session_id,received_at,created_at,domain
19541,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:25.409959+00:00,2025-03-27T07:48:25.409959+00:00,foetex.dk
19542,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":3676}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:35.044807+00:00,2025-03-27T07:48:35.044807+00:00,foetex.dk
19543,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:40.4006+00:00,2025-03-27T07:48:40.4006+00:00,foetex.dk
19544,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:45.405204+00:00,2025-03-27T07:48:45.405204+00:00,foetex.dk
19545,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:50.399069+00:00,2025-03-27T07:48:50.399069+00:00,foetex.dk
19546,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":2213}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:52.317721+00:00,2025-03-27T07:48:52.317721+00:00,foetex.dk
19547,page-view,foto.foetex.dk/checkout.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:53.399341+00:00,2025-03-27T07:48:53.399341+00:00,foetex.dk
19547,checkout,foto.foetex.dk/checkout.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:53.399341+00:00,2025-03-27T07:48:53.399341+00:00,foetex.dk
19548,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:58.363607+00:00,2025-03-27T07:48:58.363607+00:00,foetex.dk
19549,time-spent,foto.foetex.dk/checkout.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:03.363295+00:00,2025-03-27T07:49:03.363295+00:00,foetex.dk
19550,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:08.030481+00:00,2025-03-27T07:49:08.030481+00:00,foetex.dk
19551,time-spent,foto.foetex.dk/checkout.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:13.345038+00:00,2025-03-27T07:49:13.345038+00:00,foetex.dk
19552,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:18.539451+00:00,2025-03-27T07:49:18.539451+00:00,foetex.dk
19553,time-spent,foto.foetex.dk/checkout.html,"{""duration"":541}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:18.939555+00:00,2025-03-27T07:49:18.939555+00:00,foetex.dk
19554,page-view,foto.foetex.dk/billeder/editor.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:19.101267+00:00,2025-03-27T07:49:19.101267+00:00,foetex.dk
19555,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:24.087623+00:00,2025-03-27T07:49:24.087623+00:00,foetex.dk
19556,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:29.078275+00:00,2025-03-27T07:49:29.078275+00:00,foetex.dk
19557,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5002}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:34.117327+00:00,2025-03-27T07:49:34.117327+00:00,foetex.dk
19558,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4997}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:39.087217+00:00,2025-03-27T07:49:39.087217+00:00,foetex.dk
19559,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:43.842411+00:00,2025-03-27T07:49:43.842411+00:00,foetex.dk
19560,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:49.109018+00:00,2025-03-27T07:49:49.109018+00:00,foetex.dk
19561,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:54.07127+00:00,2025-03-27T07:49:54.07127+00:00,foetex.dk
19562,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:49:58.798051+00:00,2025-03-27T07:49:58.798051+00:00,foetex.dk
19563,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:50:04.237408+00:00,2025-03-27T07:50:04.237408+00:00,foetex.dk
19564,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:50:09.077834+00:00,2025-03-27T07:50:09.077834+00:00,foetex.dk
19565,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5501}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:51:54.358733+00:00,2025-03-27T07:51:54.358733+00:00,foetex.dk
19566,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:51:59.1298+00:00,2025-03-27T07:51:59.1298+00:00,foetex.dk
19567,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:04.123052+00:00,2025-03-27T07:52:04.123052+00:00,foetex.dk
19568,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:09.118677+00:00,2025-03-27T07:52:09.118677+00:00,foetex.dk
19569,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4998}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:14.100393+00:00,2025-03-27T07:52:14.100393+00:00,foetex.dk
19570,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5002}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:19.109197+00:00,2025-03-27T07:52:19.109197+00:00,foetex.dk
19571,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:24.199562+00:00,2025-03-27T07:52:24.199562+00:00,foetex.dk
19572,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:29.098729+00:00,2025-03-27T07:52:29.098729+00:00,foetex.dk
19573,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:34.095702+00:00,2025-03-27T07:52:34.095702+00:00,foetex.dk
19574,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":2767}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:36.891544+00:00,2025-03-27T07:52:36.891544+00:00,foetex.dk
19575,page-view,foto.foetex.dk/checkout.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:37.166709+00:00,2025-03-27T07:52:37.166709+00:00,foetex.dk
19576,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:42.160537+00:00,2025-03-27T07:52:42.160537+00:00,foetex.dk
19577,time-spent,foto.foetex.dk/checkout.html,"{""duration"":3366}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:45.210442+00:00,2025-03-27T07:52:45.210442+00:00,foetex.dk
19578,page-view,foto.foetex.dk/billeder/editor.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:45.700177+00:00,2025-03-27T07:52:45.700177+00:00,foetex.dk
19579,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:50.705904+00:00,2025-03-27T07:52:50.705904+00:00,foetex.dk
19580,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5042}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:52:55.731341+00:00,2025-03-27T07:52:55.731341+00:00,foetex.dk
19581,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4957}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:00.869959+00:00,2025-03-27T07:53:00.869959+00:00,foetex.dk
19582,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:05.684888+00:00,2025-03-27T07:53:05.684888+00:00,foetex.dk
19583,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:10.67495+00:00,2025-03-27T07:53:10.67495+00:00,foetex.dk
19584,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:15.646331+00:00,2025-03-27T07:53:15.646331+00:00,foetex.dk
19585,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:20.354952+00:00,2025-03-27T07:53:20.354952+00:00,foetex.dk
19586,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:25.393473+00:00,2025-03-27T07:53:25.393473+00:00,foetex.dk
19587,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:30.694205+00:00,2025-03-27T07:53:30.694205+00:00,foetex.dk
19588,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":630}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:31.271157+00:00,2025-03-27T07:53:31.271157+00:00,foetex.dk
19589,page-view,foto.foetex.dk/checkout.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:31.546279+00:00,2025-03-27T07:53:31.546279+00:00,foetex.dk
19590,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:36.51733+00:00,2025-03-27T07:53:36.51733+00:00,foetex.dk
19591,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5002}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:41.581702+00:00,2025-03-27T07:53:41.581702+00:00,foetex.dk
19592,time-spent,foto.foetex.dk/checkout.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:46.67842+00:00,2025-03-27T07:53:46.67842+00:00,foetex.dk
19593,time-spent,foto.foetex.dk/checkout.html,"{""duration"":4997}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:51.55452+00:00,2025-03-27T07:53:51.55452+00:00,foetex.dk
19594,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5002}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:53:56.592661+00:00,2025-03-27T07:53:56.592661+00:00,foetex.dk
19595,time-spent,foto.foetex.dk/checkout.html,"{""duration"":4997}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:54:01.550645+00:00,2025-03-27T07:54:01.550645+00:00,foetex.dk
19596,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:54:06.571851+00:00,2025-03-27T07:54:06.571851+00:00,foetex.dk
19597,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5004}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:54:11.577118+00:00,2025-03-27T07:54:11.577118+00:00,foetex.dk
19598,time-spent,foto.foetex.dk/checkout.html,"{""duration"":4994}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:54:16.235555+00:00,2025-03-27T07:54:16.235555+00:00,foetex.dk
19599,time-spent,foto.foetex.dk/checkout.html,"{""duration"":2153}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:54:21.566058+00:00,2025-03-27T07:54:21.566058+00:00,foetex.dk
19600,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:54:26.555117+00:00,2025-03-27T07:54:26.555117+00:00,foetex.dk
19601,time-spent,foto.foetex.dk/checkout.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:54:31.214585+00:00,2025-03-27T07:54:31.214585+00:00,foetex.dk
