,1,2,3,4,5,6,7,8,9,10,11,12,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
17,35-44,Female,United States,Full-time Employee,Manufacturing / Construction,Rarely / Never,Strongly disagree,Strongly disagree,Agree,Home and Garden,Strongly disagree,,Yes,3,Yes,5,No,1,No,1,No,3,No,2,No,3,No,5,No,1,Yes,3,No,4,No,5,No,2,Yes,3,Yes,3,Maybe,2,No,2,No,3,No,2,Maybe,2,No,1
18,18-24,Female,Iran,Graduate / Postgraduate,Technology / IT,Once a month,Disagree,Disagree,Disagree,Clothing and Accessories|Food and Beverages|Toys and Games|Home and Garden|Books and Media,Strongly agree,,Yes,4,No,1,Yes,4,No,4,Yes,4,No,2,No,1,No,4,Yes,4,Yes,5,No,4,No,4,No,4,Yes,2,Yes,4,Yes,3,Yes,2,Yes,4,Yes,4,Yes,3,No,3
19,45-54,Female,Denmark,Full-time Employee,Technology / IT,2-3 times a month,Agree,Agree,Disagree,Clothing and Accessories,Agree,"Think 24 hours 
Get a blocker on my card ;-)",Maybe,5,Yes,4,No,5,No,1,Yes,3,Yes,3,Maybe,3,Yes,3,No,5,Yes,1,No,4,No,4,No,2,Yes,4,Yes,3,Yes,5,No,2,No,3,No,2,No,2,No,4
20,25-34,Female,United States,Graduate / Postgraduate,Education / Academic,Once every three months,Disagree,Neither agree nor disagree,Neither agree nor disagree,Clothing and Accessories|Health and Beauty Products|Home and Garden,Neither agree nor disagree,If it requires a lot of steps to buy the item (ie needing to sign up for an account) then I would be less inclined to act impulsively because I would not want to do more work ,Yes,4,Yes,2,Yes,3,Yes,3,Yes,5,Yes,3,No,1,No,2,Yes,3,Yes,3,No,2,No,4,Yes,3,Yes,5,Maybe,2,Yes,4,Yes,4,Yes,5,Yes,3,Yes,4,Yes,4
21,25-34,Male,Denmark,Graduate / Postgraduate,Technology / IT,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Disagree,,No,4,No,4,No,2,No,3,No,3,No,4,No,2,Yes,5,No,4,No,3,No,3,No,4,No,3,No,3,No,3,No,4,No,2,No,2,No,3,No,3,No,3
22,25-34,Female,Denmark,Full-time Employee,Other,Once a month,Agree,Neither agree nor disagree,Disagree,Clothing and Accessories|Health and Beauty Products|Sports and Fitness Equipment,Neither agree nor disagree,,No,3,Yes,4,No,2,No,1,No,1,Yes,2,No,1,No,1,Maybe,3,No,2,No,2,No,5,No,4,No,4,No,3,No,2,No,1,No,4,No,2,No,2,Maybe,3
23,25-34,Male,Netherlands,Part-time Employee,Other,Daily,Neither agree nor disagree,Agree,Agree,,Agree,Reminders,Yes,4,No,3,Yes,5,No,1,No,2,No,1,No,1,No,1,No,4,Yes,5,No,4,No,3,No,4,No,4,No,1,No,3,No,4,No,4,No,2,No,3,No,2
24,18-24,Female,United States,Part-time Employee,Education / Academic,Once a month,Agree,Strongly agree,Strongly agree,Clothing and Accessories|Food and Beverages|Books and Media,Strongly agree,,Yes,1,No,2,No,2,No,5,No,5,No,4,No,3,No,4,No,4,No,4,Yes,5,No,5,Yes,5,Yes,5,No,3,Yes,5,No,3,No,4,No,3,No,4,No,5
25,25-34,Male,Finland,Undergraduate,Government / Public Sector,Once every three months,Neither agree nor disagree,Agree,Neither agree nor disagree,Clothing and Accessories|Toys and Games|Books and Media|Electronics and Gadgets|Home and Garden,Agree,"I think if I was questioned if I truly needed the product before I click to purchase and pay, more than half of the ""stupid"" purchases wouldn't go through. It's that simple. Just question my decisions and make me think twice. ",Yes,5,No,3,No,5,No,3,Yes,5,Yes,4,No,2,No,3,Maybe,5,No,4,No,3,No,4,No,4,No,3,Yes,3,No,5,Maybe,3,Yes,3,No,4,No,4,No,4
26,25-34,Female,United States,Full-time Employee,Technology / IT,Multiple times a week,Agree,Strongly agree,Neither agree nor disagree,Clothing and Accessories|Health and Beauty Products|Books and Media|Food and Beverages,Agree,"I don't feel like anti-impulse shopping can be fully resolved with technology/apps if that's what ""tool"" in the question refers to... The actual tool against impulse shopping would have to be more social/community involvement.",Yes,1,Yes,2,Yes,2,Yes,2,Maybe,2,Yes,3,Yes,1,Maybe,3,Yes,2,Yes,4,Yes,4,No,1,Yes,3,Yes,3,Yes,2,Yes,3,Yes,4,Yes,4,Yes,3,Yes,2,Yes,3
27,45-54,Female,United States,Prefer not to say,No industry,Multiple times a week,Strongly agree,Strongly agree,Agree,Electronics and Gadgets|Clothing and Accessories|Toys and Games|Books and Media|Sports and Fitness Equipment|Home and Garden|Health and Beauty Products,Strongly agree,,No,4,Yes,3,No,3,No,3,Yes,3,Yes,2,No,4,Yes,4,No,1,Yes,3,No,4,No,2,No,4,No,4,Yes,1,No,4,Yes,3,No,3,Yes,3,No,4,No,3
28,25-34,Male,United States,Full-time Employee,Technology / IT,Daily,Strongly agree,Strongly agree,Neither agree nor disagree,Books and Media,Strongly agree,,Maybe,2,Yes,2,Maybe,2,Maybe,4,Yes,1,Yes,1,Yes,3,Yes,1,Maybe,2,Yes,1,No,5,Yes,3,No,1,Yes,2,No,3,No,2,Maybe,2,Maybe,3,Maybe,3,Yes,5,Maybe,5
29,25-34,Female,Australia,Full-time Employee,Education / Academic,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly disagree,,Yes,5,Yes,5,No,3,No,1,Yes,5,Yes,2,No,3,Yes,5,Yes,5,Yes,5,No,1,No,3,No,3,Yes,3,Yes,1,No,3,No,3,No,3,Yes,3,Yes,4,No,1
30,18-24,Female,United States,Undergraduate,Other,Once every three months,Disagree,Agree,Disagree,Clothing and Accessories|Health and Beauty Products,Neither agree nor disagree,,Yes,5,No,,No,4,Yes,2,No,,No,,No,,No,,Yes,4,Yes,4,No,3,Maybe,2,Yes,5,Yes,4,No,,Yes,4,No,2,Yes,3,No,,No,,No,
31,25-34,Female,Denmark,Graduate / Postgraduate,Design / Creative Work,Once every three months,Disagree,Neither agree nor disagree,Disagree,Clothing and Accessories|Home and Garden,Agree,,Yes,3,Yes,4,Yes,3,No,3,Yes,3,Yes,4,Yes,2,No,4,Yes,4,Yes,3,No,4,No,3,No,4,No,4,No,3,Yes,3,Yes,4,Yes,4,No,3,Yes,4,Yes,3
32,25-34,Prefer not to say,Mexico,Graduate / Postgraduate,Finance / Accounting,Once a month,Disagree,Agree,Agree,Electronics and Gadgets,Strongly agree,"Some tool that allows you to postpone the purchase, to re-evaluate whether it is really necessary to buy it",Yes,5,Yes,5,No,3,Yes,3,Yes,5,No,3,No,5,Yes,4,Yes,4,Yes,3,No,4,No,5,No,2,Yes,5,No,2,Yes,5,No,4,Yes,4,No,1,No,5,No,5
33,18-24,Female,Singapore,Undergraduate,No industry,Rarely / Never,Disagree,Disagree,Disagree,Clothing and Accessories,Disagree,,Yes,4,No,4,No,2,No,1,Yes,4,No,2,No,3,No,1,Yes,2,Maybe,4,Yes,2,Yes,5,Yes,5,Yes,5,No,1,Yes,4,Yes,4,Yes,1,No,1,No,2,No,1
34,18-24,Female,United States,Undergraduate,Education / Academic,Rarely / Never,Agree,Disagree,Agree,Electronics and Gadgets,Strongly disagree,,Yes,2,No,4,No,1,No,2,Yes,4,Yes,4,Yes,5,No,4,Yes,3,Yes,4,No,2,No,1,No,2,Yes,3,No,1,Yes,4,No,2,No,2,No,3,No,4,No,3
35,18-24,Female,Italy,Undergraduate,Finance / Accounting,Rarely / Never,Disagree,Neither agree nor disagree,Neither agree nor disagree,Food and Beverages,Agree,I think needing to accept the payment on your credit card app is doing the reality check for me.,No,1,Yes,4,Yes,5,No,2,Yes,5,No,3,Yes,5,No,5,Yes,5,Yes,3,No,1,No,1,No,3,Yes,4,Yes,4,Yes,5,No,3,Yes,2,No,2,Yes,4,No,3
36,25-34,Male,Iceland,Part-time Employee,Technology / IT,Once every three months,Strongly disagree,Strongly disagree,Strongly disagree,Toys and Games,Neither agree nor disagree,,Yes,5,No,2,No,4,No,3,Yes,4,Yes,3,No,4,Yes,5,Yes,5,Yes,5,Yes,4,No,3,No,3,No,3,No,3,No,4,No,3,No,4,No,4,No,3,No,3
37,25-34,Female,United States,Full-time Employee,Technology / IT,2-3 times a month,Agree,Agree,Disagree,Clothing and Accessories|Health and Beauty Products,Neither agree nor disagree,,Yes,4,Yes,4,No,4,No,2,Yes,4,Yes,3,No,2,No,1,Yes,5,Yes,3,No,2,No,4,No,5,No,4,No,2,No,4,Yes,3,No,4,Yes,4,Yes,5,No,3
38,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once a month,Neither agree nor disagree,Neither agree nor disagree,Disagree,Electronics and Gadgets|Food and Beverages,Neither agree nor disagree,,Yes,3,No,2,Yes,5,No,3,Yes,5,Yes,4,No,2,No,2,Yes,5,Yes,4,Maybe,3,No,3,Yes,4,Yes,4,No,4,Yes,4,No,3,No,3,Maybe,3,No,3,No,3
39,18-24,Male,United Kingdom,Unemployed,No industry,Once every three months,Disagree,Neither agree nor disagree,Disagree,Clothing and Accessories|Books and Media,Disagree,Slow down the service.... remove any attracting colours and remove time limits ,Yes,3,Yes,3,Yes,5,Yes,2,Yes,5,Yes,4,Yes,5,Yes,5,Yes,5,Yes,2,No,5,Yes,2,Yes,3,Yes,3,Yes,5,No,4,Yes,5,Yes,5,Yes,2,Yes,5,Yes,3
40,18-24,Male,India,Undergraduate,Technology / IT,Once a month,Neither agree nor disagree,Agree,Agree,Clothing and Accessories|Electronics and Gadgets,Agree,,Yes,4,No,3,No,2,Yes,4,Yes,5,No,3,Maybe,4,No,2,No,3,Maybe,4,No,2,No,3,No,4,No,3,No,3,No,3,No,3,No,4,No,4,No,3,Yes,4
41,18-24,Non-binary / Gender diverse,Australia,Undergraduate,Technology / IT,Once a month,Agree,Agree,Agree,Electronics and Gadgets,Agree,I'm not sure,Yes,1,No,3,No,3,Yes,4,No,3,No,4,Yes,4,No,3,Maybe,3,Yes,5,No,3,No,4,No,3,No,3,No,3,Yes,3,Yes,1,No,4,No,2,No,3,No,4
42,18-24,Female,United States,Undergraduate,No industry,Once every three months,Disagree,Neither agree nor disagree,Disagree,Clothing and Accessories|Food and Beverages,Agree,Incorporating a fixed weekly/monthly budget that  set and have to stick to,Yes,5,Yes,4,Yes,3,Yes,3,Yes,4,Yes,5,No,2,No,4,Yes,4,Yes,4,No,4,Yes,5,No,4,Yes,5,Yes,4,Yes,3,No,3,Yes,4,No,2,No,2,Yes,3
43,18-24,Female,United States,Undergraduate,Education / Academic,Once every three months,Agree,Strongly agree,Strongly agree,Clothing and Accessories|Food and Beverages,Strongly agree,,Yes,5,Yes,4,Yes,2,No,3,Yes,2,No,2,Yes,3,Yes,2,No,3,Yes,2,Maybe,2,No,5,Yes,2,Yes,3,Yes,3,Yes,2,Yes,2,Yes,5,Yes,2,Yes,4,No,2
44,25-34,Female,"Korea, South",Graduate / Postgraduate,Technology / IT,Once every three months,Strongly disagree,Strongly disagree,Agree,Clothing and Accessories|Books and Media,Agree,Tool that shows some diagrams like pie charts that compare one's last month or week purchases in real time,Yes,4,Yes,4,No,4,No,2,Yes,5,No,1,No,2,No,5,Yes,4,Yes,4,No,3,No,3,Yes,4,Yes,3,No,2,Yes,4,No,1,Yes,5,Yes,5,No,4,Yes,5
45,18-24,Male,Egypt,Undergraduate,No industry,Once a month,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets|Clothing and Accessories,Agree,,No,,No,,No,3,No,,No,3,No,3,No,3,No,,No,,No,3,No,3,No,,No,3,No,,No,3,No,,No,,No,3,No,3,No,,No,
46,35-44,Female,United States,Full-time Employee,Government / Public Sector,Multiple times a week,Strongly agree,Strongly agree,Agree,Electronics and Gadgets|Clothing and Accessories|Health and Beauty Products|Toys and Games,Strongly agree,,No,5,No,4,No,5,No,1,No,3,No,2,No,4,No,2,No,4,Yes,1,Yes,2,No,2,No,4,No,5,No,1,No,5,No,4,No,4,No,1,No,4,No,1
47,18-24,Female,Netherlands,Graduate / Postgraduate,No industry,Once every three months,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Clothing and Accessories|Health and Beauty Products,Agree,,Yes,5,Yes,5,Yes,4,No,3,Yes,4,Yes,3,No,2,No,3,Yes,4,Yes,4,No,4,No,2,No,3,No,3,No,3,Yes,4,No,2,Yes,4,No,2,Yes,4,Yes,5
48,25-34,Prefer not to say,Denmark,Full-time Employee,Government / Public Sector,Rarely / Never,Strongly disagree,Neither agree nor disagree,Disagree,Toys and Games|Food and Beverages|Electronics and Gadgets,Strongly disagree,,Yes,5,No,2,Yes,2,No,1,Yes,5,No,1,No,4,Yes,3,Yes,4,Yes,2,No,4,No,1,No,4,No,4,No,4,Yes,3,No,1,Yes,4,No,1,No,1,No,2
49,25-34,Male,Denmark,Full-time Employee,Technology / IT,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly disagree,,Yes,5,Yes,5,Yes,5,No,1,Yes,4,Yes,3,Yes,3,Yes,3,Yes,5,Yes,4,No,3,No,2,No,2,No,3,Yes,5,Yes,3,Maybe,2,Yes,3,Yes,3,Yes,3,Yes,4
50,18-24,Female,United States,Graduate / Postgraduate,Design / Creative Work,2-3 times a month,Agree,Agree,Disagree,Clothing and Accessories|Food and Beverages|Electronics and Gadgets,Agree,Some sort of ad blocker maybe? Thats what really kills me is sudden ads that repeatedly pop up for items I might've quickly viewed once. Or maybe a reminder tool of 'you already have XYZ amount of sweater',Yes,5,Yes,3,Yes,3,No,,Yes,3,Yes,5,Yes,2,No,,Yes,2,Yes,4,No,,Yes,2,Yes,3,Yes,4,No,,Yes,4,Yes,1,Yes,2,Yes,2,No,,No,
52,25-34,Female,Australia,Graduate / Postgraduate,Technology / IT,Once every three months,Disagree,Agree,Neither agree nor disagree,Home and Garden,Agree,Plan purchases in problematic categories in advance. ,Yes,4,Yes,5,Yes,4,No,3,No,3,No,3,No,4,Yes,4,Yes,4,Yes,3,No,5,No,3,Yes,5,Yes,5,Yes,3,Yes,5,Yes,5,Yes,4,Yes,3,Yes,3,No,4
53,18-24,Female,Netherlands,Graduate / Postgraduate,Retail / Sales,Rarely / Never,Disagree,Neither agree nor disagree,Agree,Clothing and Accessories|Health and Beauty Products,Strongly disagree,,Yes,5,No,2,Yes,4,No,2,Yes,4,Yes,3,No,1,No,2,Yes,5,Yes,4,No,1,No,2,No,3,No,3,Yes,3,Maybe,2,Yes,2,Yes,3,No,2,Yes,3,Yes,3
54,25-34,Female,United States,Undergraduate,Other,Once a month,Agree,Strongly agree,Neither agree nor disagree,Clothing and Accessories|Health and Beauty Products,Agree,,Yes,3,Yes,4,No,3,Yes,2,Yes,5,Yes,1,No,4,Yes,2,Yes,4,No,3,No,4,Yes,3,No,2,Yes,2,Yes,2,Yes,2,Yes,3,No,4,No,2,Yes,2,Yes,4
55,25-34,Male,Denmark,Full-time Employee,Technology / IT,Once a month,Disagree,Agree,Strongly disagree,Travel and Experiences|Books and Media|Toys and Games|Clothing and Accessories,Agree,"Reminder of online spendings, e.g. via bank app or similar.",Yes,5,Yes,5,Yes,5,Yes,3,Yes,5,Yes,2,No,,Yes,5,Yes,5,Yes,4,No,,No,,No,,Yes,5,Yes,5,Yes,5,Yes,5,No,,No,,Yes,5,No,
56,25-34,Male,India,Graduate / Postgraduate,No industry,2-3 times a month,Neither agree nor disagree,Neither agree nor disagree,Agree,Health and Beauty Products|Clothing and Accessories|Food and Beverages|Electronics and Gadgets|Books and Media|Travel and Experiences|Sports and Fitness Equipment,Agree,,Yes,4,Yes,4,Yes,3,Yes,4,Yes,3,Yes,3,Yes,4,Yes,4,Yes,3,Yes,3,Yes,4,Yes,4,Yes,3,Yes,3,Yes,3,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,3
57,35-44,Male,Netherlands,Undergraduate,Technology / IT,Rarely / Never,Disagree,Agree,Agree,Electronics and Gadgets|Toys and Games,Neither agree nor disagree,,Yes,3,Yes,4,Maybe,2,No,3,Yes,3,No,1,No,1,Yes,1,Yes,4,Yes,4,Yes,1,No,3,No,2,Yes,2,Yes,2,Yes,3,Maybe,4,Yes,2,Maybe,3,Yes,3,No,2
58,18-24,Male,United States,Undergraduate,Arts / Entertainment,Rarely / Never,Disagree,Neither agree nor disagree,Agree,Electronics and Gadgets,Neither agree nor disagree,,Yes,4,No,5,Maybe,4,No,3,Yes,4,Yes,5,Maybe,4,No,3,Yes,4,Yes,5,No,3,No,3,No,2,Yes,4,Maybe,3,Yes,4,Yes,5,No,3,Yes,5,Maybe,3,Maybe,4
59,25-34,Female,Denmark,Undergraduate,Technology / IT,Once every three months,Disagree,Neither agree nor disagree,Disagree,Clothing and Accessories|Health and Beauty Products,Agree,Maybe something that maybe makes it clear that this is an impulse. For example an extension on your browser. ,Yes,5,Yes,5,No,2,No,2,Yes,5,No,2,No,4,Yes,3,Yes,3,No,3,No,4,No,2,No,4,No,5,No,2,No,3,No,3,Yes,4,Yes,5,Yes,5,No,2
60,25-34,Female,Denmark,Full-time Employee,Technology / IT,2-3 times a month,Agree,Agree,Neither agree nor disagree,Clothing and Accessories|Health and Beauty Products,Agree,,Yes,4,Yes,4,Maybe,3,No,2,No,3,Yes,4,No,1,No,3,Yes,4,Yes,4,No,2,No,3,No,3,No,3,No,2,No,3,No,3,Yes,3,No,3,No,4,No,4
61,55-64,Male,United States,Unemployed,Education / Academic,Once every three months,Strongly disagree,Strongly disagree,Strongly disagree,Food and Beverages|Books and Media,Strongly disagree,No. This is not a problem I have so I don't need any tool.,Yes,5,No,1,Yes,5,No,1,Yes,5,Yes,5,No,1,Yes,5,Yes,5,Yes,5,No,1,No,1,No,1,Yes,5,Yes,3,Yes,3,No,1,Yes,5,No,1,Yes,5,Yes,5
62,35-44,Male,Australia,Part-time Employee,Technology / IT,Once a month,Disagree,Neither agree nor disagree,Strongly disagree,Electronics and Gadgets|Home and Garden,Disagree,,Yes,4,Yes,5,Yes,1,No,4,Yes,5,Yes,3,No,3,Yes,4,No,1,Yes,5,No,1,No,4,Yes,5,Yes,5,No,1,No,1,Yes,3,Yes,4,No,1,No,1,No,4
63,18-24,Female,Hungary,Graduate / Postgraduate,Other,Once every three months,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Clothing and Accessories|Travel and Experiences|Books and Media|Health and Beauty Products,Neither agree nor disagree,,Yes,4,Yes,4,Yes,5,No,3,Yes,5,Yes,5,No,5,Maybe,5,Yes,5,Yes,4,No,4,No,3,Maybe,4,Maybe,4,Maybe,4,No,4,Maybe,4,Maybe,3,Maybe,4,No,4,No,4
64,18-24,Female,United States,Graduate / Postgraduate,No industry,2-3 times a month,Agree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets|Clothing and Accessories|Health and Beauty Products|Food and Beverages|Travel and Experiences|Sports and Fitness Equipment,Neither agree nor disagree,,Yes,4,Yes,4,No,4,No,2,Yes,5,No,2,No,3,No,4,Yes,4,Yes,5,No,3,No,4,No,4,Yes,5,Yes,4,No,4,No,3,No,3,No,3,Yes,5,Yes,4
65,18-24,Non-binary / Gender diverse,United Kingdom,Undergraduate,Other,Once every three months,Agree,Strongly agree,Neither agree nor disagree,Clothing and Accessories|Toys and Games,Strongly agree,,Yes,3,Maybe,2,Yes,4,No,2,Yes,3,Yes,4,Yes,5,No,,Yes,3,Yes,4,No,3,Yes,3,Yes,5,Yes,5,Yes,4,Yes,4,Yes,3,Yes,4,No,3,No,1,Yes,4
66,25-34,Male,Denmark,Self-employed / Business Owner,Design / Creative Work,Once every three months,Disagree,Disagree,Disagree,Clothing and Accessories|Electronics and Gadgets|Health and Beauty Products|Books and Media|Travel and Experiences,Strongly disagree,,No,,No,,Yes,4,No,,Yes,5,No,,No,,Yes,3,Yes,5,No,,No,,No,,No,,No,,No,,Yes,5,No,,Yes,5,Yes,2,No,,No,
67,25-34,Female,United States,Seasonal / Contract Worker,Government / Public Sector,Once every three months,Agree,Strongly agree,Neither agree nor disagree,Clothing and Accessories|Health and Beauty Products|Books and Media,Agree,,Yes,3,Yes,4,Yes,5,No,3,Yes,2,Yes,4,No,5,No,5,No,5,No,2,No,5,No,5,No,2,No,2,No,3,Yes,4,No,2,No,5,No,4,No,5,No,4
68,35-44,Male,United States,Unemployed,No industry,Rarely / Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly disagree,,Yes,3,No,1,No,1,No,1,Maybe,2,Maybe,2,No,1,No,1,Maybe,2,Yes,2,No,1,No,1,No,1,No,1,No,1,No,1,Maybe,2,Yes,4,No,1,No,1,No,1
69,25-34,Female,United States,Self-employed / Business Owner,Other,Multiple times a week,Agree,Strongly agree,Agree,Clothing and Accessories|Health and Beauty Products|Food and Beverages,Agree,,Maybe,3,Yes,4,Maybe,3,No,,Yes,3,Yes,4,Yes,3,No,,No,3,No,,Yes,3,No,4,Yes,3,Yes,1,No,3,Yes,4,No,,Maybe,4,Maybe,3,Yes,2,Maybe,
